images,ocr_results
data/ger_1.jpg,"EPPING
Twinned
with
Eppingen,
Germany"
data/ger_2.jpg,"Halten Sie,
was Sie versprechen.
Und geben Sie noch was dazu."
data/00059985.jpg,"小学数学第八册第三单元测试题
（小数乘法）
姓名：
班别：
分数：
计算题。（共38分）
1.直接写出得数。（10分）
0.8×25=
0×4.23=
0.57+0.43=
2.4×0.2=
0.02
×500=
2.8×10=
8.29×100=
2.5×0.4=
4.87-1.7=
8.07
×1000=
2.用竖式计算。（12分）
2.97×3.8=
7.05×0.84="
data/japan_2.jpg,"もちもち
天然の
とろっと後味のよい
濃厚な
サクク
味わい深い
なめらかな
焼きたて
深みのある
ふわふわ
うま味のある
とろーり
飽きのこない絶品
贅沢な
やみつきになる
ピリ辛
香ばしい
ふわっと
コクのある
サクッと
脂の乗った
カリカリ
揚げたて
とろとろスパイシー
出来たてこだわりの
新鮮な
リッチな
炊きたて
風味豊かな
熟成したカリッと
こんがり
美味
芳醇な
ふんわり
口どけのよい
コシのある
まろやかな
パリッと
旬
産地直送
クセになる
食べろ
秘伝の
ほくほく
淹れたてスイートもっちり
ジューシー
本場の
朝採り
後味すっきり
とろける"
data/model_prod_flow_ch.png,"Paddle.jit.save)
best_accuracy.pdopt
 inference.pdmodel
ch_det_mv3
模型训练
best_accuracy.pdparams
模型转換
opt优化模型
 inference.pdiparams
db_opt.nb
best_accuracy.states"
data/japan_1.jpg,だいしょう。未来は元気よ。
data/00056221.jpg,"7788.com
Z57A001950
杭州东售
2013年07月07日13:39开
06车12B号
二等座
G7512次
杭州东
上海虹桥
HangZhouDong
Shang HaiHongQiao
￥73.00元
限乘当日当次车
余友红
检票口16
3623301993****0941
9004-1300-5707-08A0-0195-0
和谐号
CanonPowerShotA3400ISF2.81/20sIS0400"
data/00009282.jpg,"Meters/bonwe
洗涤说明
最高洗涤温度30℃
常规程序
不可漂白
悬挂晾干
熨斗底板最高温度110℃
常规干洗
注意事项：
分开洗涤，不宜长时间漫泡，有
钮扣或拉链的服饰先将钮扣或拉链
扣好、熨烫时采用仅蒸汽熨烫。"
data/00057937.jpg,"AliciaLil
Lib.cu
院附属瑞金医院
标本号：OA
报告单（临床内分泌）
标本种类：血清
标志提示：
门诊号：E05535540
条码号：10080603139
临床诊断
别女
门诊科别：门诊内分泌
申请医生：孙首悦
检测日期：2010
年龄31
检验备注：
项目
结果
参考范围
FT3
3.12
2.62--6.49pmol/L
15.40
9.01--19.04pmol/L
FT4
1.31
0.35--4.94μIU/ml
STSH
0.15
<4.11IU/ml
TGAB
0.1
<5.0U/L
TRAb
0.17
<5.61IU/ml
TPOAb
0.1
0.1--10.0pg/ml
降钙素
报告时间：10-08-0711:28
打印时间：1
采样时间：10-08-0611:23
收到时间：10-08-0611:44
检验：李纪平
核对：
以上7项检验结果仅供临床医师参考"
data/12.jpg,"上海斯格威铂尔大酒店
打浦路15号
绿洲仕格维花园公寓
打浦路252935号"
